Name of material,Guide No.,ID No.,Toxic Inhalation Hazard,Water Reactive,Chemical Warfare,,Order #
Mercury based pesticide & liquid & toxic,151,3012,,,,,1672
Mercury based pesticide & liquid & toxic & flammable,131,3011,,,,,1673
Mercury based pesticide & solid & poisonous,151,2777,,,,,1674
Mercury based pesticide & solid & toxic,151,2777,,,,,1675
Mercury benzoate,154,1631,,,,,1676
Mercury bromides,154,1634,,,,,1677
Mercury compound & liquid & n.o.s.,151,2024,,,,,1678
Mercury compound & solid & n.o.s.,151,2025,,,,,1679
Mercury contained in manufactured articles,172,3506,,,,,1680
Mercury cyanide,154,1636,,,,,1681
Mercury gluconate,151,1637,,,,,1682
Mercury iodide,151,1638,,,,,1683
Mercury nucleate,151,1639,,,,,1684
Mercury oleate,151,1640,,,,,1685
Mercury oxide,151,1641,,,,,1686
Mercury oxycyanide & desensitized,151,1642,,,,,1687
Mercury potassium iodide,151,1643,,,,,1688
Mercury salicylate,151,1644,,,,,1689
Mercury sulfate,151,1645,,,,,1690
Mercury sulphate,151,1645,,,,,1691
Mercury thiocyanate,151,1646,,,,,1692
Mesityl oxide,129,1229,,,,,1693
Metal carbonyls & liquid & n.o.s.,151,3281,X,,,,1694
Metal carbonyls & solid & n.o.s.,151,3466,,,,,1695
Metal catalyst & dry,135,2881,,,,,1696
Metal catalyst & wetted,170,1378,,,,,1697
Metaldehyde,133,1332,,,,,1698
Metal hydrides & flammable & n.o.s.,170,3182,,,,,1699
Metal hydrides & water-reactive & n.o.s.,138,1409,,,,,1700
Metallic substance & water-reactive & n.o.s.,138,3208,,,,,1701
Metallic substance & water-reactive & self-heating & n.o.s.,138,3209,,,,,1702
Metal powder & flammable & n.o.s.,170,3089,,,,,1703
Metal powder & self-heating & n.o.s.,135,3189,,,,,1704
Metal salts of organic compounds & flammable & n.o.s.,133,3181,,,,,1705
Methacrylaldehyde & stabilized,131P,2396,,,,,1706
Methacrylic acid & stabilized,153P,2531,,,,,1707
Methacrylonitrile & stabilized,131P,3079,X,,,,1708
Methallyl alcohol,129,2614,,,,,1709
Methane,115,1971,,,,,1710
Methane & compressed,115,1971,,,,,1711
Methane & refrigerated liquid (cryogenic liquid),115,1972,,,,,1712
Methane and Hydrogen mixture & compressed,115,2034,,,,,1713
Methanesulfonyl chloride,156,3246,X,,,,1714
Methanesulphonyl chloride,156,3246,X,,,,1715
Methanol,131,1230,,,,,1716
Methoxymethyl isocyanate,155,2605,X,,,,1717
4-Methoxy-4-methylpentan-2-one,128,2293,,,,,1718
1-Methoxy-2-propanol,129,3092,,,,,1719
Methyl acetate,129,1231,,,,,1720
Methylacetylene and Propadiene mixture & stabilized,116P,1060,,,,,1721
Methyl acrylate & stabilized,129P,1919,,,,,1722
Methylal,127,1234,,,,,1723
Methyl alcohol,131,1230,,,,,1724
Methylallyl chloride,130P,2554,,,,,1725
Methylamine & anhydrous,118,1061,X,,,,1726
Methylamine & aqueous solution,132,1235,,,,,1727
Methylamyl acetate,130,1233,,,,,1728
Methylamyl alcohol,129,2053,,,,,1729
Methyl amyl ketone,127,1110,,,,,1730
N-Methylaniline,153,2294,,,,,1731
Methylbenzyl (alpha) alcohol & liquid,153,2937,,,,,1732
Methylbenzyl (alpha) alcohol & solid,153,3438,,,,,1733
Methyl bromide,123,1062,X,,,,1734
Methyl bromide and Chloropicrin mixture,123,1581,X,,,,1735
Methyl bromide and Ethylene dibromide mixture & liquid,151,1647,X,,,,1736
Methyl bromoacetate,155,2643,,,,,1737
2-Methylbutanal,129,3371,,,,,1738
3-Methylbutan-2-one,127,2397,,,,,1739
2-Methyl-1-butene,128,2459,,,,,1740
2-Methyl-2-butene,128,2460,,,,,1741
3-Methyl-1-butene,128,2561,,,,,1742
N-Methylbutylamine,132,2945,,,,,1743
Methyl tert-butyl ether,127,2398,,,,,1744
Methyl butyrate,129,1237,,,,,1745
Methyl chloride,115,1063,,,,,1746
Methyl chloride and Chloropicrin mixture,119,1582,X,,,,1747
Methyl chloride and Methylene chloride mixture,115,1912,,,,,1748
Methyl chloroacetate,155,2295,,,,,1749
Methyl chloroformate,155,1238,X,,,,1750
Methyl chloromethyl ether,131,1239,X,,,,1751
Methyl 2-chloropropionate,129,2933,,,,,1752
Methylchlorosilane,119,2534,X,,,,1753
Methylcyclohexane,128,2296,,,,,1754
Methylcyclohexanols,129,2617,,,,,1755
Methylcyclohexanone,128,2297,,,,,1756
Methylcyclopentane,128,2298,,,,,1757
Methyl dichloroacetate,155,2299,,,,,1758
Methyldichloroarsine,152,1556,X,,,,1759
Methyldichlorosilane,139,1242,,W,,,1760
Methylene chloride,160,1593,,,,,1761
Methylene chloride and Methyl chloride mixture,115,1912,,,,,1762
Methyl ethyl ether,115,1039,,,,,1763
Methyl ethyl ketone,127,1193,,,,,1764
2-Methyl-5-ethylpyridine,153,2300,,,,,1765
Methyl fluoride,115,2454,,,,,1766
Methyl formate,129,1243,,,,,1767
2-Methylfuran,128,2301,,,,,1768
2-Methyl-2-heptanethiol,131,3023,X,,,,1769
5-Methylhexan-2-one,127,2302,,,,,1770
Methylhydrazine,131,1244,X,,,,1771
Methyl iodide,151,2644,X,,,,1772
Methyl isobutyl carbinol,129,2053,,,,,1773
Methyl isobutyl ketone,127,1245,,,,,1774
Methyl isocyanate,155P,2480,X,,,,1775
Methyl isopropenyl ketone & stabilized,127P,1246,,,,,1776
Methyl isothiocyanate,131,2477,X,,,,1777
Methyl isovalerate,130,2400,,,,,1778
Methyl magnesium bromide in Ethyl ether,138,1928,,,,,1779
Methyl mercaptan,117,1064,X,,,,1780
Methyl methacrylate monomer & stabilized,129P,1247,,,,,1781
4-Methylmorpholine,132,2535,,,,,1782
N-Methylmorpholine,132,2535,,,,,1783
Methyl nitrite,116,2455,,,,,1784
Methyl orthosilicate,155,2606,X,,,,1785
Methylpentadiene,128,2461,,,,,1786
2-Methylpentan-2-ol,129,2560,,,,,1787
Methylphenyldichlorosilane,156,2437,,W,,,1788
Methyl phosphonic dichloride,137,9206,X,,,,1789
Methyl phosphonous dichloride,135,2845,X,,,,1790
1-Methylpiperidine,132,2399,,,,,1791
Methyl propionate,129,1248,,,,,1792
Methyl propyl ether,127,2612,,,,,1793
Methyl propyl ketone,127,1249,,,,,1794
Methyltetrahydrofuran,127,2536,,,,,1795
Methyl trichloroacetate,156,2533,,,,,1796
Methyltrichlorosilane,155,1250,,W,,,1797
Methyl valeraldehyde (alpha),130,2367,,,,,1798
Methyl vinyl ketone & stabilized,131P,1251,X,,,,1799
Molten sulfur,133,2448,,,,,1800
Molten sulphur,133,2448,,,,,1801
Molybdenum pentachloride,156,2508,,,,,1802
Monoethanolamine,153,2491,,,,,1803
Mononitrotoluidines,153,2660,,,,,1804
Morpholine,132,2054,,,,,1805
Motor fuel anti-knock mixture,152,1649,,,,,1806
Motor fuel anti-knock mixture & flammable,131,3483,,,,,1807
Motor spirit,128,1203,,,,,1808
Motor spirit and ethanol mixture & with more than 10% ethanol,127,3475,,,,,1809
Muriatic acid,157,1789,,,,,1810
Musk xylene,149,2956,,,,,1811
Mustard,153,— —,,,Z,,1812
Mustard Lewisite,153,— —,,,Z,,1813
Naphthalene & crude,133,1334,,,,,1814
Naphthalene & molten,133,2304,,,,,1815
Naphthalene & refined,133,1334,,,,,1816
Naphthylamine (alpha),153,2077,,,,,1817
Naphthylamine (beta) & solid,153,1650,,,,,1818
Naphthylamine (beta) & solution,153,3411,,,,,1819
Naphthylthiourea,153,1651,,,,,1820
Naphthylurea,153,1652,,,,,1821
Natural gas & compressed,115,1971,,,,,1822
Natural gas & refrigerated liquid (cryogenic liquid),115,1972,,,,,1823
Neohexane,128,1208,,,,,1824
Neon,120,1065,,,,,1825
Neon & compressed,120,1065,,,,,1826
Neon & refrigerated liquid (cryogenic liquid),120,1913,,,,,1827
Nickel carbonyl,131,1259,X,,,,1828
Nickel catalyst & dry,135,2881,,,,,1829
Nickel cyanide,151,1653,,,,,1830
Nickel nitrate,140,2725,,,,,1831
Nickel nitrite,140,2726,,,,,1832
Nicotine,151,1654,,,,,1833
Nicotine compound & liquid & n.o.s.,151,3144,,,,,1834
Nicotine compound & solid & n.o.s.,151,1655,,,,,1835
Nicotine hydrochloride & liquid,151,1656,,,,,1836
Nicotine hydrochloride & solid,151,3444,,,,,1837
Nicotine hydrochloride & solution,151,1656,,,,,1838
Nicotine preparation & liquid & n.o.s.,151,3144,,,,,1839
Nicotine preparation & solid & n.o.s.,151,1655,,,,,1840
Nicotine salicylate,151,1657,,,,,1841
Nicotine sulfate & solid,151,3445,,,,,1842
Nicotine sulfate & solution,151,1658,,,,,1843
Nicotine sulphate & solid,151,3445,,,,,1844
Nicotine sulphate & solution,151,1658,,,,,1845
Nicotine tartrate,151,1659,,,,,1846
Nitrates & inorganic & aqueous solution & n.o.s.,140,3218,,,,,1847
Nitrates & inorganic & n.o.s.,140,1477,,,,,1848
Nitrating acid mixture with more than 50% nitric acid,157,1796,,,,,1849
Nitrating acid mixture with not more than 50% nitric acid,157,1796,,,,,1850
Nitrating acid mixture & spent & with more than 50% nitric acid,157,1826,,,,,1851
Nitrating acid mixture & spent & with not more than 50% nitric acid,157,1826,,,,,1852
Nitric acid & other than red fuming & with more than 65% nitric acid,157,2031,,,,,1853
Nitric acid & other than red fuming & with not more than 65% nitric acid,157,2031,,,,,1854
Nitric acid & red fuming,157,2032,X,,,,1855
Nitric oxide,124,1660,X,,,,1856
Nitric oxide & compressed,124,1660,X,,,,1857
Nitric oxide and Dinitrogen tetroxide mixture,124,1975,X,,,,1858
Nitric oxide and Nitrogen dioxide mixture,124,1975,X,,,,1859
Nitriles & flammable & poisonous & n.o.s.,131,3273,,,,,1860
Nitriles & flammable & toxic & n.o.s.,131,3273,,,,,1861
Nitriles & liquid & poisonous & n.o.s.,151,3276,X,,,,1862
Nitriles & liquid & toxic & n.o.s.,151,3276,X,,,,1863
Nitriles & poisonous & flammable & n.o.s.,131,3275,X,,,,1864
Nitriles & poisonous & liquid & n.o.s.,151,3276,X,,,,1865
Nitriles & poisonous & solid & n.o.s.,151,3439,,,,,1866
Nitriles & solid & poisonous & n.o.s.,151,3439,,,,,1867
Nitriles & solid & toxic & n.o.s.,151,3439,,,,,1868
Nitriles & toxic & flammable & n.o.s.,131,3275,X,,,,1869
Nitriles & toxic & liquid & n.o.s.,151,3276,X,,,,1870
Nitriles & toxic & solid & n.o.s.,151,3439,,,,,1871
Nitrites & inorganic & aqueous solution & n.o.s.,140,3219,,,,,1872
Nitrites & inorganic & n.o.s.,140,2627,,,,,1873
Nitroanilines,153,1661,,,,,1874
Nitroanisoles & liquid,152,2730,,,,,1875
Nitroanisoles & solid,152,3458,,,,,1876
Nitrobenzene,152,1662,,,,,1877
Nitrobenzenesulfonic acid,153,2305,,,,,1878
Nitrobenzenesulphonic acid,153,2305,,,,,1879
Nitrobenzotrifluorides & liquid,152,2306,,,,,1880
Nitrobenzotrifluorides & solid,152,3431,,,,,1881
Nitrobromobenzenes & liquid,152,2732,,,,,1882
Nitrobromobenzenes & solid,152,3459,,,,,1883
Nitrocellulose membrane filters,133,3270,,,,,1884
Nitrocellulose mixture & without pigment,133,2557,,,,,1885
Nitrocellulose mixture & without plasticizer,133,2557,,,,,1886
Nitrocellulose mixture & with pigment,133,2557,,,,,1887
Nitrocellulose mixture & with plasticizer,133,2557,,,,,1888
Nitrocellulose & solution & flammable,127,2059,,,,,1889
Nitrocellulose with alcohol & not less than 25% alcohol,113,2556,,,,,1890
Nitrocellulose with water & not less than 25% water,113,2555,,,,,1891
3-Nitro-4-chlorobenzotrifluoride,152,2307,,,,,1892
Nitrocresols & liquid,153,3434,,,,,1893
Nitrocresols & solid,153,2446,,,,,1894
Nitroethane,129,2842,,,,,1895
Nitrogen,120,1066,,,,,1896
Nitrogen & compressed,120,1066,,,,,1897
Nitrogen & refrigerated liquid (cryogenic liquid),120,1977,,,,,1898
Nitrogen dioxide,124,1067,X,,,,1899
Nitrogen dioxide and Nitric oxide mixture,124,1975,X,,,,1900
Nitrogen trifluoride,122,2451,,,,,1901
Nitrogen trifluoride & compressed,122,2451,,,,,1902
Nitrogen trioxide,124,2421,X,,,,1903
Nitroglycerin & solution in alcohol & with more than 1% but not more than 5% Nitroglycerin,127,3064,,,,,1904
Nitroglycerin & solution in alcohol & with not more than 1% Nitroglycerin,127,1204,,,,,1905
Nitroglycerin mixture & desensitized & liquid & flammable & n.o.s. & with not more than 30% Nitroglycerin,113,3343,,,,,1906
Nitroglycerin mixture & desensitized & liquid & n.o.s. & with not more than 30% Nitroglycerin,113,3357,,,,,1907
Nitroglycerin mixture & desensitized & solid & n.o.s. & with more than 2% but not more than 10% Nitroglycerin,113,3319,,,,,1908
Nitroguanidine & wetted with not less than 20% water,113,1336,,,,,1909
Nitrohydrochloric acid,157,1798,,,,,1910
Nitromethane,129,1261,,,,,1911
Nitronaphthalene,133,2538,,,,,1912
Nitrophenols,153,1663,,,,,1913
4-Nitrophenylhydrazine & with not less than 30% water,113,3376,,,,,1914
Nitropropanes,129,2608,,,,,1915
p-Nitrosodimethylaniline,135,1369,,,,,1916
Nitrostarch & wetted with not less than 20% water,113,1337,,,,,1917
Nitrosyl chloride,125,1069,X,,,,1918
Nitrosylsulfuric acid & liquid,157,2308,,W,,,1919
Nitrosylsulfuric acid & solid,157,3456,,W,,,1920
Nitrosylsulphuric acid & liquid,157,2308,,W,,,1921
Nitrosylsulphuric acid & solid,157,3456,,W,,,1922
Nitrotoluenes & liquid,152,1664,,,,,1923
Nitrotoluenes & solid,152,3446,,,,,1924
Nitrotoluidines (mono),153,2660,,,,,1925
Nitrous oxide,122,1070,,,,,1926
Nitrous oxide & compressed,122,1070,,,,,1927
Nitrous oxide & refrigerated liquid,122,2201,,,,,1928
Nitrous oxide and Carbon dioxide mixture,126,1015,,,,,1929
Nitroxylenes & liquid,152,1665,,,,,1930
Nitroxylenes & solid,152,3447,,,,,1931
Nonanes,128,1920,,,,,1932
Nonyltrichlorosilane,156,1799,,W,,,1933
2 &5-Norbornadiene & stabilized,128P,2251,,,,,1934
Octadecyltrichlorosilane,156,1800,,W,,,1935
Octadiene,128P,2309,,,,,1936
Octafluorobut-2-ene,126,2422,,,,,1937
Octafluorocyclobutane,126,1976,,,,,1938
Octafluoropropane,126,2424,,,,,1939
Octanes,128,1262,,,,,1940
Octyl aldehydes,129,1191,,,,,1941
Octyltrichlorosilane,156,1801,,W,,,1942
Oil & petroleum,128,1270,,,,,1943
Oil gas,119,1071,,,,,1944
Oil gas & compressed,119,1071,,,,,1945
Organic peroxide type B & liquid,146,3101,,,,,1946
Organic peroxide type B & liquid & temperature controlled,148,3111,,,,,1947
Organic peroxide type B & solid,146,3102,,,,,1948
Organic peroxide type B & solid & temperature controlled,148,3112,,,,,1949
Organic peroxide type C & liquid,146,3103,,,,,1950
Organic peroxide type C & liquid & temperature controlled,148,3113,,,,,1951
Organic peroxide type C & solid,146,3104,,,,,1952
Organic peroxide type C & solid & temperature controlled,148,3114,,,,,1953
Organic peroxide type D & liquid,145,3105,,,,,1954
Organic peroxide type D & liquid & temperature controlled,148,3115,,,,,1955
Organic peroxide type D & solid,145,3106,,,,,1956
Organic peroxide type D & solid & temperature controlled,148,3116,,,,,1957
Organic peroxide type E & liquid,145,3107,,,,,1958
Organic peroxide type E & liquid & temperature controlled,148,3117,,,,,1959
Organic peroxide type E & solid,145,3108,,,,,1960
Organic peroxide type E & solid & temperature controlled,148,3118,,,,,1961
Organic peroxide type F & liquid,145,3109,,,,,1962
Organic peroxide type F & liquid & temperature controlled,148,3119,,,,,1963
Organic peroxide type F & solid,145,3110,,,,,1964
Organic peroxide type F & solid & temperature controlled,148,3120,,,,,1965
Organic phosphate compound mixed with compressed gas,123,1955,X,,,,1966
Organic phosphate mixed with compressed gas,123,1955,X,,,,1967
Organic phosphorus compound mixed with compressed gas,123,1955,X,,,,1968
Organic pigments & self-heating,135,3313,,,,,1969
Organoarsenic compound & liquid & n.o.s.,151,3280,X,,,,1970
Organoarsenic compound & solid & n.o.s.,151,3465,,,,,1971
Organochlorine pesticide & liquid & flammable & poisonous,131,2762,,,,,1972
Organochlorine pesticide & liquid & flammable & toxic,131,2762,,,,,1973
Organochlorine pesticide & liquid & poisonous,151,2996,,,,,1974
Organochlorine pesticide & liquid & poisonous & flammable,131,2995,,,,,1975
Organochlorine pesticide & liquid & toxic,151,2996,,,,,1976
Organochlorine pesticide & liquid & toxic & flammable,131,2995,,,,,1977
Organochlorine pesticide & solid & poisonous,151,2761,,,,,1978
Organochlorine pesticide & solid & toxic,151,2761,,,,,1979
Organometallic compound & liquid & poisonous & n.o.s.,151,3282,,,,,1980
Organometallic compound & liquid & toxic & n.o.s.,151,3282,,,,,1981
Organometallic compound & poisonous & liquid & n.o.s.,151,3282,,,,,1982
Organometallic compound & poisonous & solid & n.o.s.,151,3467,,,,,1983
Organometallic compound & solid & poisonous & n.o.s.,151,3467,,,,,1984
Organometallic compound & solid & toxic & n.o.s.,151,3467,,,,,1985
Organometallic compound & toxic & liquid & n.o.s.,151,3282,,,,,1986
Organometallic compound & toxic & solid & n.o.s.,151,3467,,,,,1987
Organometallic substance & liquid & pyrophoric,135,3392,,,,,1988
Organometallic substance & liquid & pyrophoric & water-reactive,135,3394,,,,,1989
Organometallic substance & liquid & water-reactive,135,3398,,,,,1990
Organometallic substance & liquid & water-reactive & flammable,138,3399,,,,,1991
Organometallic substance & solid & pyrophoric,135,3391,,,,,1992
Organometallic substance & solid & pyrophoric & water-reactive,135,3393,,,,,1993
Organometallic substance & solid & self-heating,138,3400,,,,,1994
Organometallic substance & solid & water-reactive,135,3395,,,,,1995
Organometallic substance & solid & water-reactive & flammable,138,3396,,,,,1996
Organometallic substance & solid & water-reactive & self-heating,138,3397,,,,,1997
Organophosphorus compound & liquid & poisonous & n.o.s.,151,3278,X,,,,1998
Organophosphorus compound & liquid & toxic & n.o.s.,151,3278,X,,,,1999
Organophosphorus compound & poisonous & flammable & n.o.s.,131,3279,X,,,,2000
Organophosphorus compound & poisonous & liquid & n.o.s.,151,3278,X,,,,2001
Organophosphorus compound & poisonous & solid & n.o.s.,151,3464,,,,,2002
Organophosphorus compound & solid & poisonous & n.o.s.,151,3464,,,,,2003
Organophosphorus compound & solid & toxic & n.o.s.,151,3464,,,,,2004
Organophosphorus compound & toxic & flammable & n.o.s.,131,3279,X,,,,2005
Organophosphorus compound & toxic & liquid & n.o.s.,151,3278,X,,,,2006
Organophosphorus compound & toxic & solid & n.o.s.,151,3464,,,,,2007
Organophosphorus pesticide & liquid & flammable & poisonous,131,2784,,,,,2008
Organophosphorus pesticide & liquid & flammable & toxic,131,2784,,,,,2009
Organophosphorus pesticide & liquid & poisonous,152,3018,,,,,2010
Organophosphorus pesticide & liquid & poisonous & flammable,131,3017,,,,,2011
Organophosphorus pesticide & liquid & toxic,152,3018,,,,,2012
Organophosphorus pesticide & liquid & toxic & flammable,131,3017,,,,,2013
Organophosphorus pesticide & solid & poisonous,152,2783,,,,,2014
Organophosphorus pesticide & solid & toxic,152,2783,,,,,2015
Organotin compound & liquid & n.o.s.,153,2788,,,,,2016
Organotin compound & solid & n.o.s.,153,3146,,,,,2017
Organotin pesticide & liquid & flammable & poisonous,131,2787,,,,,2018
Organotin pesticide & liquid & flammable & toxic,131,2787,,,,,2019
Organotin pesticide & liquid & poisonous,153,3020,,,,,2020
Organotin pesticide & liquid & poisonous & flammable,131,3019,,,,,2021
Organotin pesticide & liquid & toxic,153,3020,,,,,2022
Organotin pesticide & liquid & toxic & flammable,131,3019,,,,,2023
Organotin pesticide & solid & poisonous,153,2786,,,,,2024
Organotin pesticide & solid & toxic,153,2786,,,,,2025
Osmium tetroxide,154,2471,,,,,2026
Other regulated substances & liquid & n.o.s.,171,3082,,,,,2027
Other regulated substances & solid & n.o.s.,171,3077,,,,,2028
Oxidizing liquid & corrosive & n.o.s.,140,3098,,,,,2029
Oxidizing liquid & n.o.s.,140,3139,,,,,2030
Oxidizing liquid & poisonous & n.o.s.,142,3099,,,,,2031
Oxidizing liquid & toxic & n.o.s.,142,3099,,,,,2032
Oxidizing solid & corrosive & n.o.s.,140,3085,,,,,2033
Oxidizing solid & flammable & n.o.s.,140,3137,,,,,2034
Oxidizing solid & n.o.s.,140,1479,,,,,2035
Oxidizing solid & poisonous & n.o.s.,141,3087,,,,,2036
Oxidizing solid & self-heating & n.o.s.,135,3100,,,,,2037
Oxidizing solid & toxic & n.o.s.,141,3087,,,,,2038
Oxidizing solid & water-reactive & n.o.s.,144,3121,,,,,2039
Oxygen,122,1072,,,,,2040
Oxygen & compressed,122,1072,,,,,2041
Oxygen & refrigerated liquid (cryogenic liquid),122,1073,,,,,2042
Oxygen and Carbon dioxide mixture & compressed,122,1014,,,,,2043
Oxygen difluoride,124,2190,X,,,,2044
Oxygen difluoride & compressed,124,2190,X,,,,2045
Oxygen generator & chemical,140,3356,,,,,2046
Oxygen generator & chemical & spent,140,3356,,,,,2047
Packagings discarded & empty & uncleaned,171,3509,,,,,2048
Paint (corrosive),153,3066,,,,,2049
Paint & corrosive & flammable,132,3470,,,,,2050
Paint (flammable),128,1263,,,,,2051
Paint & flammable & corrosive,132,3469,,,,,2052
Paint related material (corrosive),153,3066,,,,,2053
Paint related material & corrosive & flammable,132,3470,,,,,2054
Paint related material (flammable),128,1263,,,,,2055
Paint related material & flammable & corrosive,132,3469,,,,,2056
Paper & unsaturated oil treated,133,1379,,,,,2057
Paraformaldehyde,133,2213,,,,,2058
Paraldehyde,129,1264,,,,,2059
Parathion and compressed gas mixture,123,1967,X,,,,2060
PCB,171,2315,,,,,2061
PD,152,— —,,,Z,,2062
Pentaborane,135,1380,X,,,,2063
Pentachloroethane,151,1669,,,,,2064
Pentachlorophenol,154,3155,,,,,2065
Pentaerythrite tetranitrate mixture & desensitized & solid & n.o.s. & with more than 10% but not more than 20% PETN,113,3344,,,,,2066
Pentaerythritol tetranitrate mixture & desensitized & solid & n.o.s. & with more than 10% but not more than 20% PETN,113,3344,,,,,2067
Pentafluoroethane,126,3220,,,,,2068
Pentafluoroethane and Ethylene oxide mixture & with not more than 7.9% Ethylene oxide,126,3298,,,,,2069
Pentamethylheptane,128,2286,,,,,2070
Pentane-2 &4-dione,131,2310,,,,,2071
Pentanes,128,1265,,,,,2072
Pentanols,129,1105,,,,,2073
1-Pentene,128,1108,,,,,2074
1-Pentol,153P,2705,,,,,2075
Perchlorates & inorganic & aqueous solution & n.o.s.,140,3211,,,,,2076
Perchlorates & inorganic & n.o.s.,140,1481,,,,,2077
Perchloric acid & with more than 50% but not more than 72% acid,143,1873,,,,,2078
Perchloric acid & with not more than 50% acid,157,1802,,,,,2079
Perchloroethylene,160,1897,,,,,2080
Perchloromethyl mercaptan,157,1670,X,,,,2081
Perchloryl fluoride,124,3083,X,,,,2082
Perfluoro(ethyl vinyl ether),115,3154,,,,,2083
Perfluoro(methyl vinyl ether),115,3153,,,,,2084
Perfumery products & with flammable solvents,127,1266,,,,,2085
Permanganates & inorganic & aqueous solution & n.o.s.,140,3214,,,,,2086
Permanganates & inorganic & n.o.s.,140,1482,,,,,2087
Peroxides & inorganic & n.o.s.,140,1483,,,,,2088
Peroxyacetic acid and hydrogen peroxide mixture & with acid(s) & water and not more than 5% Peroxyacetic acid & stabilized,140,3149,,,,,2089
Persulfates & inorganic & aqueous solution & n.o.s.,140,3216,,,,,2090
Persulfates & inorganic & n.o.s.,140,3215,,,,,2091
Persulphates & inorganic & aqueous solution & n.o.s.,140,3216,,,,,2092
Persulphates & inorganic & n.o.s.,140,3215,,,,,2093
Pesticide & liquid & flammable & poisonous & n.o.s.,131,3021,,,,,2094
Pesticide & liquid & flammable & toxic & n.o.s.,131,3021,,,,,2095
Pesticide & liquid & poisonous & flammable & n.o.s.,131,2903,,,,,2096
Pesticide & liquid & poisonous & n.o.s.,151,2902,,,,,2097
Pesticide & liquid & toxic & flammable & n.o.s.,131,2903,,,,,2098
Pesticide & liquid & toxic & n.o.s.,151,2902,,,,,2099
Pesticide & solid & poisonous & n.o.s.,151,2588,,,,,2100
Pesticide & solid & toxic & n.o.s.,151,2588,,,,,2101
PETN mixture & desensitized & solid & n.o.s. & with more than 10% but not more than 20% PETN,113,3344,,,,,2102
Petrol,128,1203,,,,,2103
Petrol and ethanol mixture & with more than 10% ethanol,127,3475,,,,,2104
Petroleum crude oil,128,1267,,,,,2105
Petroleum distillates & n.o.s.,128,1268,,,,,2106
Petroleum gases & liquefied,115,1075,,,,,2107
Petroleum oil,128,1270,,,,,2108
Petroleum products & n.o.s.,128,1268,,,,,2109
Petroleum sour crude oil & flammable & poisonous,131,3494,X,,,,2110
Petroleum sour crude oil & flammable & toxic,131,3494,X,,,,2111
Phenacyl bromide,153,2645,,,,,2112
Phenetidines,153,2311,,,,,2113
Phenol & molten,153,2312,,,,,2114
Phenol & solid,153,1671,,,,,2115
Phenol solution,153,2821,,,,,2116
Phenolates & liquid,154,2904,,,,,2117
Phenolates & solid,154,2905,,,,,2118
Phenolsulfonic acid & liquid,153,1803,,,,,2119
Phenolsulphonic acid & liquid,153,1803,,,,,2120
Phenoxyacetic acid derivative pesticide & liquid & flammable & poisonous,131,3346,,,,,2121
Phenoxyacetic acid derivative pesticide & liquid & flammable & toxic,131,3346,,,,,2122
Phenoxyacetic acid derivative pesticide & liquid & poisonous,153,3348,,,,,2123
Phenoxyacetic acid derivative pesticide & liquid & poisonous & flammable,131,3347,,,,,2124
Phenoxyacetic acid derivative pesticide & liquid & toxic,153,3348,,,,,2125
Phenoxyacetic acid derivative pesticide & liquid & toxic & flammable,131,3347,,,,,2126
Phenoxyacetic acid derivative pesticide & solid & poisonous,153,3345,,,,,2127
Phenoxyacetic acid derivative pesticide & solid & toxic,153,3345,,,,,2128
Phenylacetonitrile & liquid,152,2470,,,,,2129
Phenylacetyl chloride,156,2577,,,,,2130
Phenylcarbylamine chloride,151,1672,X,,,,2131
Phenyl chloroformate,156,2746,,,,,2132
Phenylenediamines,153,1673,,,,,2133
Phenylhydrazine,153,2572,,,,,2134
Phenyl isocyanate,155,2487,X,,,,2135
Phenyl mercaptan,131,2337,X,,,,2136
Phenylmercuric acetate,151,1674,,,,,2137
Phenylmercuric compound & n.o.s.,151,2026,,,,,2138
Phenylmercuric hydroxide,151,1894,,,,,2139
Phenylmercuric nitrate,151,1895,,,,,2140
Phenylphosphorus dichloride,137,2798,,,,,2141
Phenylphosphorus thiodichloride,137,2799,,,,,2142
Phenyltrichlorosilane,156,1804,,W,,,2143
Phenyl urea pesticide & liquid & poisonous,151,3002,,,,,2144
Phenyl urea pesticide & liquid & toxic,151,3002,,,,,2145
Phosgene,125,1076,X,,,,2146
9-Phosphabicyclononanes,135,2940,,,,,2147
Phosphine,119,2199,X,,,,2148
Phosphine & adsorbed,173,3525,X,,,,2149
Phosphoric acid & solid,154,3453,,,,,2150
Phosphoric acid & solution,154,1805,,,,,2151
Phosphorous acid,154,2834,,,,,2152
Phosphorus & amorphous,133,1338,,,,,2153
Phosphorus & white & dry or under water or in solution,136,1381,,,,,2154
Phosphorus & white & molten,136,2447,,,,,2155
Phosphorus & yellow & dry or under water or in solution,136,1381,,,,,2156
Phosphorus heptasulfide & free from yellow and white Phosphorus,139,1339,,,,,2157
Phosphorus heptasulphide & free from yellow and white Phosphorus,139,1339,,,,,2158
Phosphorus oxybromide & molten,137,2576,,,,,2159
Phosphorus oxybromide & solid,137,1939,,,,,2160
Phosphorus oxychloride,137,1810,X,W,,,2161
Phosphorus pentabromide,137,2691,,W,,,2162
Phosphorus pentachloride,137,1806,,W,,,2163
Phosphorus pentafluoride,125,2198,X,,,,2164
Phosphorus pentafluoride & adsorbed,173,3524,X,,,,2165
